,Rank,Name,Score
0,1,"Kaguya-sama wa Kokurasetai?: Tensai-tachi no Renai ZunousenWatch Promotional Video
        TV (12 eps)
        Apr 2020 - 
        185,038 members",8.77
1,2,"Kingdom 3rd SeasonWatch Promotional Video
        TV (? eps)
        Apr 2020 - 
        14,205 members",8.55
2,3,"One PieceWatch Episode Video
        TV (? eps)
        Oct 1999 - 
        1,010,050 members",8.48
3,4,"Toaru Kagaku no Railgun TWatch Episode Video
        TV (25 eps)
        Jan 2020 - 
        75,535 members",8.22
4,5,"Detective ConanWatch Episode Video
        TV (? eps)
        Jan 1996 - 
        206,900 members",8.20
5,6,"Fruits Basket 2nd SeasonWatch Episode Video
        TV (? eps)
        Apr 2020 - 
        70,374 members
      

 Manga Store
Volume 1
$12.99 Preview",8.20
6,7,"Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 2nd SeasonWatch Promotional Video
        TV (12 eps)
        Apr 2020 - 
        37,253 members",7.97
7,8,"Kami no TouWatch Episode Video
        TV (13 eps)
        Apr 2020 - 
        150,159 members",7.96
8,9,"Seitokai Yakuindomo* OVA
        OVA (10 eps)
        May 2014 - Sep 2020
        54,186 members",7.94
9,10,"Douluo Dalu 2nd Season
        ONA (? eps)
        Dec 2018 - 
        6,293 members",7.93
10,11,"BNAWatch Promotional Video
        TV (? eps)
        Apr 2020 - 
        73,415 members",7.89
11,12,"Yesterday wo UtatteWatch Episode Video
        TV (18 eps)
        Apr 2020 - 
        71,029 members",7.82
12,13,"Shokugeki no Souma: Gou no SaraWatch Episode Video
        TV (? eps)
        Apr 2020 - 
        96,376 members",7.75
13,14,"Crayon Shin-chanWatch Promotional Video
        TV (? eps)
        Apr 1992 - 
        46,605 members",7.69
14,15,"Kakushigoto (TV)Watch Promotional Video
        TV (12 eps)
        Apr 2020 - 
        64,685 members
      

 Manga Store
Volume 1
$10.99 Preview",7.69
15,16,"Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta...Watch Episode Video
        TV (12 eps)
        Apr 2020 - 
        63,508 members",7.70
16,17,"IDOLiSH7: Second Beat!Watch Episode Video
        TV (15 eps)
        Apr 2020 - 
        8,092 members",7.65
17,18,"Major 2nd (TV) 2nd SeasonWatch Promotional Video
        TV (? eps)
        Apr 2020 - 
        5,560 members",7.62
18,19,"Fugou Keiji: Balance:UnlimitedWatch Promotional Video
        TV (11 eps)
        Apr 2020 - 
        51,075 members",7.53
19,20,"Doraemon (2005)
        TV (? eps)
        Apr 2005 - 
        8,162 members",7.51
